,Unnamed: 0,Unnamed: 0.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,genre,subgenre,date,pre1_base_polarity,pre1_main_emotion_class
3038,3038,3038,GerDracor/klinger-die-neue-arria.xml,Staatsgefängnis.,0,16,stage_direction,5,2,pre_speech,,,,,no_annotation,S,,1775.0,no_annotation,no_annotation
3039,3039,3039,GerDracor/klinger-die-neue-arria.xml,Julio.,0,6,stage_direction,5,2,pre_speech,,,,,no_annotation,S,,1775.0,no_annotation,no_annotation
3040,3040,3040,GerDracor/klinger-die-neue-arria.xml,Solina.,7,14,stage_direction,5,2,pre_speech,,,,,no_annotation,S,,1775.0,no_annotation,no_annotation
3041,3041,3041,GerDracor/klinger-die-neue-arria.xml,"Ich fühl's Solina, daß dieser Ort und Ruhe mit mir endet.",0,57,character_speech,5,2,,JULIO.,#julio,766.0,MALE,suffering,S,,1775.0,negative,emotions of suffering and empathy
3042,3042,3042,GerDracor/klinger-die-neue-arria.xml,"O wär ich in vollem Feuer
              dem Ziel hinan, als ein rechtschaffner Kerl gestürzt, auch ohne es erreicht zu haben,
              und erreicht hätt ich's.",58,222,character_speech,5,2,,JULIO.,#julio,766.0,MALE,suffering,S,,1775.0,negative,emotions of suffering and empathy
3043,3043,3043,GerDracor/klinger-die-neue-arria.xml,"Alles mit mir niedergerissen, und sich mein Geist über meiner
              Asche erhoben, fortgelebt zu künftigen Welten, dem seltnen Edlen das Bild des
              Erreichens; dem sein Herz geklopft hätte unablässig wie mir, da ich in meiner ersten
              Jugend vor den Großen auf den Knien lag und mein Geist sich überwuchs.",223,560,character_speech,5,2,,JULIO.,#julio,766.0,MALE,suffering,S,,1775.0,negative,emotions of suffering and empathy
3044,3044,3044,GerDracor/klinger-die-neue-arria.xml,Und jetzt wo du alles sein könntest!,0,36,character_speech,5,2,,SOLINA.,#solina,767.0,FEMALE,love,S,,1775.0,positive,emotions of affection
3045,3045,3045,GerDracor/klinger-die-neue-arria.xml,Ha!,0,3,character_speech,5,2,,JULIO.,#julio,768.0,MALE,no_annotation,S,,1775.0,no_annotation,no_annotation
3046,3046,3046,GerDracor/klinger-die-neue-arria.xml,da hängt's vor mir wie ein Teppich.,4,39,character_speech,5,2,,JULIO.,#julio,768.0,MALE,no_annotation,S,,1775.0,no_annotation,no_annotation
3047,3047,3047,GerDracor/klinger-die-neue-arria.xml,"Wie vor den Augen eines abgesetzten, kühnen
              Königs der seinen Nachbarn und Untertanen zu große Schritte machte.",40,165,character_speech,5,2,,JULIO.,#julio,768.0,MALE,no_annotation,S,,1775.0,no_annotation,no_annotation
