,Unnamed: 0,Unnamed: 0.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,pre1_base_polarity,pre1_main_emotion_class
1631,1631,1631,GerDracor/goethe-torquato-tasso.xml,Tasso.,0,6,stage_direction,5,5,pre_speech,,,,,no_annotation,no_annotation,no_annotation
1632,1632,1632,GerDracor/goethe-torquato-tasso.xml,Antonio.,7,15,stage_direction,5,5,pre_speech,,,,,no_annotation,no_annotation,no_annotation
1633,1633,1633,GerDracor/goethe-torquato-tasso.xml,"
              O stünde jetzt, so wie du immer glaubst
              Daß du von Feinden rings umgeben bist,
              Ein Feind bei dir, wie würd er triumphieren?",0,166,character_speech,5,5,,ANTONIO.,#antonio,411.0,MALE,fear,negative,emotions of anxiety
1634,1634,1634,GerDracor/goethe-torquato-tasso.xml,"Unglücklicher, noch kaum erhol ich mich!",181,221,character_speech,5,5,,ANTONIO.,#antonio,411.0,MALE,suffering,negative,emotions of suffering and empathy
1635,1635,1635,GerDracor/goethe-torquato-tasso.xml,"Wenn ganz was Unerwartetes begegnet,
              Wenn unser Blick was Ungeheures sieht,
              Steht unser Geist auf eine Weile still,
              Wir haben nichts womit wir das vergleichen.",236,437,character_speech,5,5,,ANTONIO.,#antonio,411.0,MALE,no_annotation,no_annotation,no_annotation
1636,1636,1636,GerDracor/goethe-torquato-tasso.xml,nach einer langen Pause.,0,24,stage_direction,5,5,speech_part,,#tasso,412.0,MALE,no_annotation,no_annotation,no_annotation
1637,1637,1637,GerDracor/goethe-torquato-tasso.xml,"
              Vollende nur dein Amt, ich seh du bist's!",0,56,character_speech,5,5,,TASSO,#tasso,412.0,MALE,joy,positive,emotions of pleasure
1638,1638,1638,GerDracor/goethe-torquato-tasso.xml,"Ja du verdienst das fürstliche Vertraun,
              Vollende nur dein Amt, und martre mich,
              Da mir der Stab gebrochen ist, noch langsam
              Zu Tode!",71,246,character_speech,5,5,,TASSO,#tasso,412.0,MALE,despair,negative,emotions of anxiety
1639,1639,1639,GerDracor/goethe-torquato-tasso.xml,Ziehe!,247,253,character_speech,5,5,,TASSO,#tasso,412.0,MALE,no_annotation,no_annotation,no_annotation
1640,1640,1640,GerDracor/goethe-torquato-tasso.xml,"Zieh am Pfeile nur,
              Daß ich den Widerhaken grimmig fühle
              Der mich zerfleischt!",254,360,character_speech,5,5,,TASSO,#tasso,412.0,MALE,fear,negative,emotions of anxiety
1641,1641,1641,GerDracor/goethe-torquato-tasso.xml,"Du bist ein teures Werkzeug des Tyrannen,
              Sei Kerkermeister, sei der Marterknecht,
              Wie wohl!",375,495,character_speech,5,5,,TASSO,#tasso,412.0,MALE,abhorrence,negative,emotions of rejection
1642,1642,1642,GerDracor/goethe-torquato-tasso.xml,wie eigen steht dir beides an!,496,526,character_speech,5,5,,TASSO,#tasso,412.0,MALE,Schadenfreude,positive,emotions of pleasure
1643,1643,1643,GerDracor/goethe-torquato-tasso.xml,Gegen die Szene.,0,16,stage_direction,5,5,speech_part,,#tasso,412.0,MALE,no_annotation,no_annotation,no_annotation
1644,1644,1644,GerDracor/goethe-torquato-tasso.xml,"
              Ja, gehe nur Tyrann!",0,35,character_speech,5,5,,TASSO,#tasso,412.0,MALE,abhorrence,negative,emotions of rejection
1645,1645,1645,GerDracor/goethe-torquato-tasso.xml,"Du konntest dich
              Nicht bis zuletzt verstellen, triumphiere!",36,109,character_speech,5,5,,TASSO,#tasso,412.0,MALE,no_annotation,no_annotation,no_annotation
1646,1646,1646,GerDracor/goethe-torquato-tasso.xml,"Du hast den Sklaven wohl gekettet, hast
              Ihn wohl gespart zu ausgedachten Qualen:
              Geh nur, ich hasse dich, ich fühle ganz
              Den Abscheu, den die Übermacht erregt,
              Die frevelhaft und ungerecht ergreift.",124,378,character_speech,5,5,,TASSO,#tasso,412.0,MALE,abhorrence,negative,emotions of rejection
1647,1647,1647,GerDracor/goethe-torquato-tasso.xml,Nach einer Pause.,0,17,stage_direction,5,5,speech_part,,#tasso,412.0,MALE,no_annotation,no_annotation,no_annotation
1648,1648,1648,GerDracor/goethe-torquato-tasso.xml,"
              So seh ich mich am Ende denn verbannt,
              Verstoßen und verbannt als Bettler hier?",0,108,character_speech,5,5,,TASSO,#tasso,412.0,MALE,suffering,negative,emotions of suffering and empathy
1649,1649,1649,GerDracor/goethe-torquato-tasso.xml,"So hat man mich bekränzt, um mich geschmückt
              Als Opfertier vor den Altar zu führen.",123,220,character_speech,5,5,,TASSO,#tasso,412.0,MALE,"admiration, reverence",positive,emotions of affection
1650,1650,1650,GerDracor/goethe-torquato-tasso.xml,"So lockte man mir noch am letzten Tage
              Mein einzig Eigentum, mir mein Gedicht
              Mit glatten Worten ab und hielt es fest!",235,381,character_speech,5,5,,TASSO,#tasso,412.0,MALE,suffering,negative,emotions of suffering and empathy
1651,1651,1651,GerDracor/goethe-torquato-tasso.xml,"Mein einzig Gut ist nun in euren Händen,
              Das mich an jedem Ort empfohlen hätte,
              Das mir noch blieb vom Hunger mich zu retten!",396,549,character_speech,5,5,,TASSO,#tasso,412.0,MALE,joy,positive,emotions of pleasure
1652,1652,1652,GerDracor/goethe-torquato-tasso.xml,Jetzt seh ich wohl warum ich feiern soll.,564,605,character_speech,5,5,,TASSO,#tasso,412.0,MALE,joy,positive,emotions of pleasure
1653,1653,1653,GerDracor/goethe-torquato-tasso.xml,"Es ist Verschwörung, und du bist das Haupt.",620,663,character_speech,5,5,,TASSO,#tasso,412.0,MALE,abhorrence,negative,emotions of rejection
1654,1654,1654,GerDracor/goethe-torquato-tasso.xml,"Damit mein Lied nur nicht vollkommner werde,
              Daß nur mein Name sich nicht mehr verbreite,
              Daß meine Neider tausend Schwächen finden,
              Daß man am Ende meiner gar vergesse;
              Drum soll ich mich zum Müßiggang gewöhnen,
              Drum soll ich mich und meine Sinne schonen.",678,1004,character_speech,5,5,,TASSO,#tasso,412.0,MALE,suffering,negative,emotions of suffering and empathy
1655,1655,1655,GerDracor/goethe-torquato-tasso.xml,"O werte Freundschaft, teure Sorglichkeit!",1019,1060,character_speech,5,5,,TASSO,#tasso,412.0,MALE,friendship,positive,emotions of affection
1656,1656,1656,GerDracor/goethe-torquato-tasso.xml,"Abscheulich dacht ich die Verschwörung mir,
              Die unsichtbar und rastlos mich umspann,
              Allein abscheulicher ist es geworden.",1076,1226,character_speech,5,5,,TASSO,#tasso,412.0,MALE,abhorrence,negative,emotions of rejection
1657,1657,1657,GerDracor/goethe-torquato-tasso.xml,"
              Und du, Sirene!",0,30,character_speech,5,5,,TASSO,#tasso,412.0,MALE,abhorrence,negative,emotions of rejection
1658,1658,1658,GerDracor/goethe-torquato-tasso.xml,"die du mich so zart,
              So himmlisch angelockt, ich sehe nun
              Dich auf einmal!",31,133,character_speech,5,5,,TASSO,#tasso,412.0,MALE,love,positive,emotions of affection
1659,1659,1659,GerDracor/goethe-torquato-tasso.xml,O Gott warum so spät!,134,155,character_speech,5,5,,TASSO,#tasso,412.0,MALE,no_annotation,no_annotation,no_annotation
1660,1660,1660,GerDracor/goethe-torquato-tasso.xml,"
              Allein wir selbst betrügen uns so gern,
              Und ehren die Verworfnen die uns ehren.",0,108,character_speech,5,5,,TASSO,#tasso,412.0,MALE,"admiration, reverence",positive,emotions of affection
1661,1661,1661,GerDracor/goethe-torquato-tasso.xml,"Die Menschen kennen sich einander nicht;
              Nur die Galeerensklaven kennen sich,
              Die eng an eine Bank geschmiedet keuchen;
              Wo keiner was zu fordern hat und keiner
              Was zu verlieren hat, die kennen sich!",123,377,character_speech,5,5,,TASSO,#tasso,412.0,MALE,no_annotation,no_annotation,no_annotation
1662,1662,1662,GerDracor/goethe-torquato-tasso.xml,"Wo jeder sich für einen Schelmen gibt,
              Und seinesgleichen auch für Schelmen nimmt.",392,488,character_speech,5,5,,TASSO,#tasso,412.0,MALE,abhorrence,negative,emotions of rejection
1663,1663,1663,GerDracor/goethe-torquato-tasso.xml,"Doch wir verkennen nur die andern höflich,
              Damit sie wieder uns verkennen sollen.",503,598,character_speech,5,5,,TASSO,#tasso,412.0,MALE,anger,negative,emotions of rejection
1664,1664,1664,GerDracor/goethe-torquato-tasso.xml,"
              Wie lang verdeckte mir dein heilig Bild
              Die Buhlerin, die kleine Künste treibt.",0,108,character_speech,5,5,,TASSO,#tasso,412.0,MALE,no_annotation,no_annotation,no_annotation
1665,1665,1665,GerDracor/goethe-torquato-tasso.xml,"Die Maske fällt, Armiden seh ich nun
              Entblößt von allen Reizen – ja, du bist's!",123,216,character_speech,5,5,,TASSO,#tasso,412.0,MALE,joy,positive,emotions of pleasure
1666,1666,1666,GerDracor/goethe-torquato-tasso.xml,Von dir hat ahndungsvoll mein Lied gesungen!,231,275,character_speech,5,5,,TASSO,#tasso,412.0,MALE,love,positive,emotions of affection
1667,1667,1667,GerDracor/goethe-torquato-tasso.xml,"
              Und die verschmitzte kleine Mittlerin!",0,53,character_speech,5,5,,TASSO,#tasso,412.0,MALE,Schadenfreude,positive,emotions of pleasure
1668,1668,1668,GerDracor/goethe-torquato-tasso.xml,Wie tief erniedrigt seh ich sie vor mir!,68,108,character_speech,5,5,,TASSO,#tasso,412.0,MALE,suffering,negative,emotions of suffering and empathy
1669,1669,1669,GerDracor/goethe-torquato-tasso.xml,"Ich höre nun die leisen Tritte rauschen,
              Ich kenne nun den Kreis um den sie schlich.",123,221,character_speech,5,5,,TASSO,#tasso,412.0,MALE,no_annotation,no_annotation,no_annotation
1670,1670,1670,GerDracor/goethe-torquato-tasso.xml,Euch alle kenn ich!,236,255,character_speech,5,5,,TASSO,#tasso,412.0,MALE,anger,negative,emotions of rejection
1671,1671,1671,GerDracor/goethe-torquato-tasso.xml,Sei mir das genug!,256,274,character_speech,5,5,,TASSO,#tasso,412.0,MALE,anger,negative,emotions of rejection
1672,1672,1672,GerDracor/goethe-torquato-tasso.xml,"Und wenn das Elend alles mir geraubt,
              So preis ich's doch, die Wahrheit lehrt es mich.",289,389,character_speech,5,5,,TASSO,#tasso,412.0,MALE,joy,positive,emotions of pleasure
1673,1673,1673,GerDracor/goethe-torquato-tasso.xml,"
              Ich höre, Tasso, dich mit Staunen an,
              So sehr ich weiß wie leicht dein rascher Geist
              Von einer Grenze zu der andern schwankt.",0,168,character_speech,5,5,,ANTONIO.,#antonio,413.0,MALE,being moved,being moved,being moved
1674,1674,1674,GerDracor/goethe-torquato-tasso.xml,Besinne dich!,183,196,character_speech,5,5,,ANTONIO.,#antonio,413.0,MALE,no_annotation,no_annotation,no_annotation
1675,1675,1675,GerDracor/goethe-torquato-tasso.xml,Gebiete dieser Wut!,197,216,character_speech,5,5,,ANTONIO.,#antonio,413.0,MALE,anger,negative,emotions of rejection
