,Unnamed: 0,Unnamed: 0.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,pre1_base_polarity,pre1_main_emotion_class
1855,1855,1855,GerDracor/fouque-sigurd-der-schlangentoedter.xml,Brynhildis prächtig geschmückt.,0,31,stage_direction,7,2,pre_speech,,,,,joy,positive,emotions of pleasure
1856,1856,1856,GerDracor/fouque-sigurd-der-schlangentoedter.xml,Gunnar.,32,39,stage_direction,7,2,pre_speech,,,,,no_annotation,no_annotation,no_annotation
1857,1857,1857,GerDracor/fouque-sigurd-der-schlangentoedter.xml,"
              Du leuchtest herrlich durch die dunkle Nacht,
              Juweel, an Fassung reich und eigner Schönheit.",0,121,character_speech,7,2,,GUNNAR.,#gunnar,687.0,MALE,"admiration, reverence",positive,emotions of affection
1858,1858,1858,GerDracor/fouque-sigurd-der-schlangentoedter.xml,"
              Man muß sich schmücken, so am letzten Tag' –
              Sagt' ich des Lebens?",0,95,character_speech,7,2,,BRYNHILDIS.,#brynhildis,688.0,FEMALE,no_annotation,no_annotation,no_annotation
1859,1859,1859,GerDracor/fouque-sigurd-der-schlangentoedter.xml,"– Nein, das meint' ich nicht –
              Am letzten Tag der rachelosen Schmach.",96,179,character_speech,7,2,,BRYNHILDIS.,#brynhildis,688.0,FEMALE,no_annotation,no_annotation,no_annotation
1860,1860,1860,GerDracor/fouque-sigurd-der-schlangentoedter.xml,"–
              Geht Morgen nun das neue Sonnenlicht
              Herauf, – ich denk', es soll mich nicht mehr kennen.",180,299,character_speech,7,2,,BRYNHILDIS.,#brynhildis,688.0,FEMALE,no_annotation,no_annotation,no_annotation
1861,1861,1861,GerDracor/fouque-sigurd-der-schlangentoedter.xml,"
              Und käm' nie mehr ein Sonnenlicht herauf,
              Und lägst du tief im Erdschooß, – freudig hell
              Schien' doch dein Glanz empor.",0,162,character_speech,7,2,,GUNNAR.,#gunnar,689.0,MALE,"admiration, reverence",positive,emotions of affection
1862,1862,1862,GerDracor/fouque-sigurd-der-schlangentoedter.xml,'S kommt auf die Prob' an.,0,26,character_speech,7,2,,BRYNHILDIS.,#brynhildis,690.0,FEMALE,no_annotation,no_annotation,no_annotation
1863,1863,1863,GerDracor/fouque-sigurd-der-schlangentoedter.xml,"
              Nur einen Kuß von diesen holden Lippen!",0,54,character_speech,7,2,,GUNNAR.,#gunnar,691.0,MALE,love,positive,emotions of affection
1864,1864,1864,GerDracor/fouque-sigurd-der-schlangentoedter.xml,Nur ein Umfangen dieser weissen Arme!,69,106,character_speech,7,2,,GUNNAR.,#gunnar,691.0,MALE,suffering,negative,emotions of suffering and empathy
1865,1865,1865,GerDracor/fouque-sigurd-der-schlangentoedter.xml,Theu'r hab' ich es erkauft.,121,148,character_speech,7,2,,GUNNAR.,#gunnar,691.0,MALE,joy,positive,emotions of pleasure
1866,1866,1866,GerDracor/fouque-sigurd-der-schlangentoedter.xml,"
              Erkauft?",0,23,character_speech,7,2,,BRYNHILDIS.,#brynhildis,692.0,FEMALE,no_annotation,no_annotation,no_annotation
1867,1867,1867,GerDracor/fouque-sigurd-der-schlangentoedter.xml,Noch nicht.,24,35,character_speech,7,2,,BRYNHILDIS.,#brynhildis,692.0,FEMALE,no_annotation,no_annotation,no_annotation
1868,1868,1868,GerDracor/fouque-sigurd-der-schlangentoedter.xml,Noch athmet Sigurd.,50,69,character_speech,7,2,,BRYNHILDIS.,#brynhildis,692.0,FEMALE,no_annotation,no_annotation,no_annotation
1869,1869,1869,GerDracor/fouque-sigurd-der-schlangentoedter.xml,"
              Nein, ich glaub' es ist
              Die That bereits geschehn, denn Nacht durchlief
              Schon ihre Bahn weit über'n Mittelpunkt
              Hinaus.",0,176,character_speech,7,2,,GUNNAR.,#gunnar,693.0,MALE,no_annotation,no_annotation,no_annotation
1870,1870,1870,GerDracor/fouque-sigurd-der-schlangentoedter.xml,Was?,0,4,character_speech,7,2,,BRYNHILDIS.,#brynhildis,694.0,FEMALE,no_annotation,no_annotation,no_annotation
1871,1871,1871,GerDracor/fouque-sigurd-der-schlangentoedter.xml,Er schon tod?,5,18,character_speech,7,2,,BRYNHILDIS.,#brynhildis,694.0,FEMALE,no_annotation,no_annotation,no_annotation
1872,1872,1872,GerDracor/fouque-sigurd-der-schlangentoedter.xml,Kommt ja kein Bote.,19,38,character_speech,7,2,,BRYNHILDIS.,#brynhildis,694.0,FEMALE,no_annotation,no_annotation,no_annotation
1873,1873,1873,GerDracor/fouque-sigurd-der-schlangentoedter.xml,"
              Wer weiß!",0,24,character_speech,7,2,,GUNNAR.,#gunnar,695.0,MALE,no_annotation,no_annotation,no_annotation
1874,1874,1874,GerDracor/fouque-sigurd-der-schlangentoedter.xml,"Im Sterben trifft des Ures Zorn
              Den allzukecken Jäger tödlich oft;
              Vielleicht, daß Guttorm nie mehr Bothschaft bringt.",25,171,character_speech,7,2,,GUNNAR.,#gunnar,695.0,MALE,anger,negative,emotions of rejection
1875,1875,1875,GerDracor/fouque-sigurd-der-schlangentoedter.xml,"
              Ach, 's ist um dieses taube Werkzeug nicht;
              Doch ein verfall'nder Stern trüg' schlimmen Graus
              Weithin durch's Weltrund, – und wir sollten's nicht
              Erfahren, läg' im Haus hier Sigurd tod?",0,242,character_speech,7,2,,BRYNHILDIS.,#brynhildis,696.0,FEMALE,suffering,negative,emotions of suffering and empathy
1876,1876,1876,GerDracor/fouque-sigurd-der-schlangentoedter.xml,"–
              Horch!",243,265,character_speech,7,2,,BRYNHILDIS.,#brynhildis,696.0,FEMALE,no_annotation,no_annotation,no_annotation
1877,1877,1877,GerDracor/fouque-sigurd-der-schlangentoedter.xml,– Horch!,266,274,character_speech,7,2,,BRYNHILDIS.,#brynhildis,696.0,FEMALE,no_annotation,no_annotation,no_annotation
