,Unnamed: 0,Unnamed: 0.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,genre,subgenre,date,pre1_base_polarity,pre1_main_emotion_class
1066,1066,1066,GerDracor/sonnleithner-fidelio.xml,Vorige.,0,7,stage_direction,2,8,pre_speech,,,,,no_annotation,S,,1805.0,no_annotation,no_annotation
1067,1067,1067,GerDracor/sonnleithner-fidelio.xml,"Rocco, durch die Wachen dringend, hinter ihm Leonore und Florestan.",8,75,stage_direction,2,8,pre_speech,,,,,no_annotation,S,,1805.0,no_annotation,no_annotation
1068,1068,1068,GerDracor/sonnleithner-fidelio.xml,"Wohlan, so helfet!",0,18,character_speech,2,8,,ROCCO.,#rocco,375.0,MALE,compassion,S,,1805.0,negative,emotions of suffering and empathy
1069,1069,1069,GerDracor/sonnleithner-fidelio.xml,Helft den Armen!,19,35,character_speech,2,8,,ROCCO.,#rocco,375.0,MALE,compassion,S,,1805.0,negative,emotions of suffering and empathy
1070,1070,1070,GerDracor/sonnleithner-fidelio.xml,Was seh ich?,0,12,character_speech,2,8,,PIZARRO.,#pizarro,376.0,MALE,being moved,S,,1805.0,being moved,being moved
1071,1071,1071,GerDracor/sonnleithner-fidelio.xml,Ha!,13,16,character_speech,2,8,,PIZARRO.,#pizarro,376.0,MALE,no_annotation,S,,1805.0,no_annotation,no_annotation
1072,1072,1072,GerDracor/sonnleithner-fidelio.xml,zu Pizarro.,0,11,stage_direction,2,8,speech_part,,#rocco,377.0,MALE,no_annotation,S,,1805.0,no_annotation,no_annotation
1073,1073,1073,GerDracor/sonnleithner-fidelio.xml,Bewegt es dich?,0,15,character_speech,2,8,,ROCCO,#rocco,377.0,MALE,being moved,S,,1805.0,being moved,being moved
1074,1074,1074,GerDracor/sonnleithner-fidelio.xml,zu Rocco.,0,9,stage_direction,2,8,speech_part,,#pizarro,378.0,MALE,no_annotation,S,,1805.0,no_annotation,no_annotation
1075,1075,1075,GerDracor/sonnleithner-fidelio.xml,Fort!,0,5,character_speech,2,8,,PIZARRO,#pizarro,378.0,MALE,no_annotation,S,,1805.0,no_annotation,no_annotation
