,Unnamed: 0,Unnamed: 0.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,genre,subgenre,date,pre1_base_polarity,pre1_main_emotion_class
747,747,747,GerDracor/gessner-evander-und-alcimna.xml,"Alcimna, mit ihren Aufwærterinnen hinten auf dem Theater; die vorigen.",0,70,stage_direction,3,7,pre_speech,,,,,no_annotation,S,,1762.0,no_annotation,no_annotation
748,748,748,GerDracor/gessner-evander-und-alcimna.xml,O ihr Gœtter!,0,13,character_speech,3,7,,ALCIMNA.,#alcimna,294.0,FEMALE,suffering,S,,1762.0,negative,emotions of suffering and empathy
749,749,749,GerDracor/gessner-evander-und-alcimna.xml,"So muss ich izt dem Prinz zur Schau zugeschleppet werden, und dich
              nicht sehn, den ich allein liebe, den ich allein lieben werde.",14,157,character_speech,3,7,,ALCIMNA.,#alcimna,294.0,FEMALE,love,S,,1762.0,positive,emotions of affection
750,750,750,GerDracor/gessner-evander-und-alcimna.xml,"steht ganz traurig, die Hand vor seinem Gesicht.",0,48,stage_direction,3,7,speech_part,,#evander,295.0,MALE,suffering,S,,1762.0,negative,emotions of suffering and empathy
751,751,751,GerDracor/gessner-evander-und-alcimna.xml,"Sie kœmmt; ich hœr es, ich Elender!",0,35,character_speech,3,7,,EVANDER,#evander,295.0,MALE,abhorrence,S,,1762.0,negative,emotions of rejection
752,752,752,GerDracor/gessner-evander-und-alcimna.xml,Ach!,0,4,character_speech,3,7,,ALCIMNA.,#alcimna,296.0,FEMALE,suffering,S,,1762.0,negative,emotions of suffering and empathy
753,753,753,GerDracor/gessner-evander-und-alcimna.xml,da bin ich; ich vermag vor Schmerzen nicht zu reden.,5,57,character_speech,3,7,,ALCIMNA.,#alcimna,296.0,FEMALE,suffering,S,,1762.0,negative,emotions of suffering and empathy
754,754,754,GerDracor/gessner-evander-und-alcimna.xml,sieht erstaunt auf.,0,19,stage_direction,3,7,speech_part,,#evander,297.0,MALE,being moved,S,,1762.0,being moved,being moved
755,755,755,GerDracor/gessner-evander-und-alcimna.xml,Wie!,0,4,character_speech,3,7,,EVANDER,#evander,297.0,MALE,being moved,S,,1762.0,being moved,being moved
756,756,756,GerDracor/gessner-evander-und-alcimna.xml,was tæuscht mich?,5,22,character_speech,3,7,,EVANDER,#evander,297.0,MALE,fear,S,,1762.0,negative,emotions of anxiety
757,757,757,GerDracor/gessner-evander-und-alcimna.xml,Diese traurige Stimme kenn ich.,23,54,character_speech,3,7,,EVANDER,#evander,297.0,MALE,suffering,S,,1762.0,negative,emotions of suffering and empathy
758,758,758,GerDracor/gessner-evander-und-alcimna.xml,Ist – – –,55,64,character_speech,3,7,,EVANDER,#evander,297.0,MALE,no_annotation,S,,1762.0,no_annotation,no_annotation
759,759,759,GerDracor/gessner-evander-und-alcimna.xml,Gœtter!,0,7,character_speech,3,7,,ALCIMNA.,#alcimna,298.0,FEMALE,no_annotation,S,,1762.0,no_annotation,no_annotation
760,760,760,GerDracor/gessner-evander-und-alcimna.xml,"Haltet mich, Freundinnen!",8,33,character_speech,3,7,,ALCIMNA.,#alcimna,298.0,FEMALE,friendship,S,,1762.0,positive,emotions of affection
761,761,761,GerDracor/gessner-evander-und-alcimna.xml,haltet mich!,34,46,character_speech,3,7,,ALCIMNA.,#alcimna,298.0,FEMALE,being moved,S,,1762.0,being moved,being moved
762,762,762,GerDracor/gessner-evander-und-alcimna.xml,Ist das der Prinz?,47,65,character_speech,3,7,,ALCIMNA.,#alcimna,298.0,FEMALE,no_annotation,S,,1762.0,no_annotation,no_annotation
