,Unnamed: 0,Unnamed: 0.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,genre,subgenre,date,pre1_base_polarity,pre1_main_emotion_class
2564,2564,2564,GerDracor/arnim-halle.xml,tritt eilig auf.,0,16,stage_direction,3,14,speech_part,,#pamphilio,1249.0,MALE,no_annotation,S,,1811.0,no_annotation,no_annotation
2565,2565,2565,GerDracor/arnim-halle.xml,"Viren, Lysander, habt ihr Cardenio nicht gesehn?",0,48,character_speech,3,14,,PAMPHILIO,#pamphilio,1249.0,MALE,no_annotation,S,,1811.0,no_annotation,no_annotation
2566,2566,2566,GerDracor/arnim-halle.xml,"Verzeihet meine Hast mit der ich das
              Gespräch durchschnitten, sein Lebensfaden ist dadurch vom Durchschnitt zu erretten,
              womit ihm die Justiz jetzt droht.",49,231,character_speech,3,14,,PAMPHILIO,#pamphilio,1249.0,MALE,compassion,S,,1811.0,negative,emotions of suffering and empathy
2567,2567,2567,GerDracor/arnim-halle.xml,"Wir dürfen seinen Weg dir nicht verrathen, er hats uns streng verboten.",0,71,character_speech,3,14,,LYSANDER.,#lysander,1250.0,MALE,no_annotation,S,,1811.0,no_annotation,no_annotation
2568,2568,2568,GerDracor/arnim-halle.xml,"Wenn ers verboten hat, da fürcht ich auch nicht mehr für ihn; so bald er furchtsam
              wird ist er auch gescheidt wie andre Leute.",0,140,character_speech,3,14,,PAMPHILIO.,#pamphilio,1251.0,MALE,fear,S,,1811.0,negative,emotions of anxiety
2569,2569,2569,GerDracor/arnim-halle.xml,"Ein Sohn vom alten Nathan hat ihn heut
              verrathen, daß er am Felsen hier gesehen worden, er droht ihm wegen seines Wechsels
              mit Arrest, ei seht da kommen schon die Diener des Gerichts.",141,352,character_speech,3,14,,PAMPHILIO.,#pamphilio,1251.0,MALE,anger,S,,1811.0,negative,emotions of rejection
2570,2570,2570,GerDracor/arnim-halle.xml,"Häscher, Gerichtsdiener, zum Theil mit Kürassen gepanzert treten durch den Thurm
              langsam auf.",0,107,stage_direction,3,14,speech_part,,#pamphilio,1251.0,MALE,no_annotation,S,,1811.0,no_annotation,no_annotation
2571,2571,2571,GerDracor/arnim-halle.xml,"Ihr seht doch nichts, er ist nicht hier.",0,40,character_speech,3,14,,EIN HÄSCHER.,#ein_haescher,1252.0,MALE,no_annotation,S,,1811.0,no_annotation,no_annotation
2572,2572,2572,GerDracor/arnim-halle.xml,Er könnte in der Höhle sein.,0,28,character_speech,3,14,,EIN ANDRER.,#ein_andrer_haescher,1253.0,MALE,no_annotation,S,,1811.0,no_annotation,no_annotation
2573,2573,2573,GerDracor/arnim-halle.xml,"Geh du voran, es ist da dunkel.",0,31,character_speech,3,14,,EIN DRITTER.,#ein_dritter_haescher,1254.0,MALE,no_annotation,S,,1811.0,no_annotation,no_annotation
2574,2574,2574,GerDracor/arnim-halle.xml,"Laß immer sein, wie bringen wir ihn durch, wenn wir ihn fangen, die Herren Studenten
              schwören ja uns Arm und Beine zu zerschlagen, wenn wir ihn schleppen, auch könnte er
              geladne Gewehre bei sich führen.",0,230,character_speech,3,14,,DER ANDRE.,#ein_andrer_haescher,1255.0,MALE,fear,S,,1811.0,negative,emotions of anxiety
2575,2575,2575,GerDracor/arnim-halle.xml,Geladene Gewehre; das wär infam.,0,32,character_speech,3,14,,DER ANDRE.,#ein_andrer_haescher,1256.0,MALE,being moved,S,,1811.0,being moved,being moved
2576,2576,2576,GerDracor/arnim-halle.xml,im Thurme.,0,10,stage_direction,3,14,speech_part,,#nathanael,1257.0,MALE,no_annotation,S,,1811.0,no_annotation,no_annotation
